Name,cls
C1CCC(C1)SC2=NN=C(N2C3=CN=CC=C3)COC4=CC=C(C=C4)C5=CC=C(C=C5)C#N,1
CN1C=CC2=C(C=CC=C21)C3=NCC(O3)C4=CC(=C(C(=C4)OC)OC)OC,1
CN1C=C(C2=CC=CC=C21)C3=NCC(O3)C4=CC(=C(C(=C4)OC)OC)OC,1
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCN(CC5)CC6=CC=CC=C6)/C4=C(C3=O)O)COC)C)C,1
CCOC1=C(C=CC(=C1)C(=CC#N)C2=CC(=C(C=C2)OC)C)OC,1
CC1C(=O)N(C2=C(N1C3CC3)C=C(C=C2)N[C@@H](C)C4=CC=C(C=C4)C)C,1
C1CCC(CC1)NC(=O)NC2=CC=CC(=C2)NC(=O)C3=CC=CC=N3,1
CN(C)C(=O)COC1(C2=C(C=C(C=C2)Br)C(=O)N1CC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl,1
CS(=O)(=O)C1=CN=C(C=C1)C2=NN=C(N2C3=CC=CC=C3Cl)/C=C/C4=NN=C(O4)C5=CC=C(C=C5)C#N,1
COC1=C2C=C(C=N1)C3=NC4=C(C=CN=C4C=C3)C5=CC=CC(=C5)CNC(=O)C6=CC(=CC=C6)S(=O)(=O)N2,1
CN1C=NC=C1CN(CCN(CC2=CC=CC=C2)S(=O)(=O)C3CC3)C4=CC=C(C=C4)C#N,1
CCC(C1=NC2=C(C=C(S2)Cl)C(=O)N1CC3=CC=CC=C3)N(CCCN)C(=O)C4=CC=C(C=C4)C,1
CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC(=CC=C4)N5CCN(CC5)C,1
C[C@@H](C1=CC=CC=C1)C(=O)NC2=NNC(=C2)C3CC3,1
CC1=C(OC2=CC=CC(=C12)O)C(=O)C3=CC(=C(C(=C3)OC)OC)OC,1
CCN(CC)CC(=O)NC1=C2C3=CC=CC=C3SC2=C(C=C1)C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6,1
CC(=O)N1CCN(CC1)C2=NN(N=C2C(=O)C3=CC(=C(C(=C3)OC)OC)OC)C4=CC=CC=C4,1
CN1CCN(CC1)CCCNC2=NC3=NC(=C(C=C3C=N2)C4=C(C=CC=C4Cl)Cl)NC(=O)NC5=CC=CC=C5,1
CN1CCC(C1)N(C)C(=O)C2=CC(=CC=C2)NC3=NC4=NC5=C(CCCCC(=O)NC6=CC=CC(=C6)N4)C=NN53,1
CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1
C1=CC2=C(C=CS2)C=C1C3=C(C=C(N3)C4=NC(=NC=C4)N)C(=O)N,1
CCN1/C(=C/C2=[N+](C=CS2)CC3=CC=CC=C3OC)/S/C(=C/4\N(C5=C(S4)C=C(C=C5)C)C)/C1=O.[Cl-],1
CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCN(CC5)C(=O)CCCNC6=CC=CC7=C6C(=O)N(C7=O)[C@@H]8CCC(=O)NC8=O)CSC9=CC=CC=C9)S(=O)(=O)C(F)(F)F)C1=CC=C(C=C1)Cl)C,1
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCN4CCN(CC4)CC[C@H](CSC5=CC=CC=C5)NC6=C(C=C(C=C6)S(=O)(=O)NC(=O)C7=CC=C(C=C7)N8CCN(CC8)CC9=C(CCC(C9)(C)C)C1=CC=C(C=C1)Cl)S(=O)(=O)C(F)(F)F)O,1
CC(C)(C1=CC2=C(C=C1)[C@@](N(C2=O)CC3=CC=C(C=C3)Cl)(C4=CC=C(C=C4)Cl)OCCCO)O,1
CCN(CC)CCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)NC(=O)NC(C)(C)C,1
COC1=CC(=CC(=C1OC)OC)C2CN=C(O2)C3=CNC4=CC=CC=C43,1
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCCN(C)CC[C@H](CSC4=CC=CC=C4)NC5=C(C=C(C=C5)S(=O)(=O)NC(=O)C6=CC=C(C=C6)N7CCN(CC7)CC8=C(CCC(C8)(C)C)C9=CC=C(C=C9)Cl)S(=O)(=O)C(F)(F)F)O,1
CCNC1=NC(=C(S1)C2=NC(=NC=C2)NC3=CC=C(C=C3)CNC(=O)C)C,1
CCNC1=NC(=C(S1)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4)C,1
CC1=CC(=CC2=CN=C(N=C12)NC3=CC=C(C=C3)[C@@H](C)NC(=O)C)C4=CC=NC=C4,1
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C(=O)N(C3C4=CC=CC=C4)CC(=O)NCCCCCCC(=O)NC5=CC=CC6=C5CN(C6=O)C7CCC(=O)NC7=O)C,1
CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)CCCC(=O)O,1
C[C@@H](C1=CC=C(C=C1)N2CCCC2)C(=O)NC3=NNC(=C3)C4CC4,1
COC1=CC(=CC(=C1OC)OC)C(=O)/C=C/C2=CC3=C(C=C2)OCCO3,1
C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)NCC3=CN=CC=C3,1
CC1=CN=C(N=C1NCC2CCN(CC2)C3=CN=CC=C3)C4=CC=CC=C4C(C)C,1
CC(C)C1=CC=CC=C1C2=NC3=C(C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5)OC=C3,1
CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CN=C(C=C3)F)C4=CC=CC=C4C(C)C,1
COC1=C(C(=C(C(=C1)/C=C/C2=NN=C(S2)NC(=O)C3=CC(=CC=C3)Br)Br)OC)OC,1
COC1=C(C(=C(C(=C1)/C=C/C2=NN=C(S2)NC(=O)C3=CC(=CC=C3)F)Br)OC)OC,1
COC1=CC(=CC(=C1OC)OC)SC2=C(NC3=C2C(=CC=C3)F)C4=CC=CC=C4,1
COC1=CC(=CC(=C1OC)OC)SC2=C(NC3=C2C=CC(=C3)F)C4=CC=CC=C4,1
